data done
2018-01-09 23:33:53.321079: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321115: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321122: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321127: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321132: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:54.701138: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: Tesla P4
major: 6 minor: 1 memoryClockRate (GHz) 1.1135
pciBusID 0000:81:00.0
Total memory: 7.43GiB
Free memory: 7.31GiB
2018-01-09 23:33:54.701204: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2018-01-09 23:33:54.701220: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2018-01-09 23:33:54.701241: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P4, pci bus id: 0000:81:00.0)
('Step:', 231, 'loss:', 3.5654979, 'acc:', 0.17664929)
('Step:', 232, 'loss:', 3.5560224, 'acc:', 0.18467882)
('Step:', 233, 'loss:', 3.5860498, 'acc:', 0.17984252)
('Step:', 234, 'loss:', 3.6071887, 'acc:', 0.16734871)
('Step:', 235, 'loss:', 3.6951382, 'acc:', 0.1467634)
('Step:', 236, 'loss:', 3.6490686, 'acc:', 0.14952257)
('Step:', 237, 'loss:', 3.6114256, 'acc:', 0.16071428)
('Step:', 238, 'loss:', 3.6282396, 'acc:', 0.15076266)
('Step:', 239, 'loss:', 3.571291, 'acc:', 0.1671627)
('Step:', 240, 'loss:', 3.5686798, 'acc:', 0.17237103)
('Step:', 241, 'loss:', 3.5608096, 'acc:', 0.16951886)
('Step:', 242, 'loss:', 3.5776474, 'acc:', 0.16989088)
('Step:', 243, 'loss:', 3.5714498, 'acc:', 0.17860244)
('Step:', 244, 'loss:', 3.5853257, 'acc:', 0.17702132)
('Step:', 245, 'loss:', 3.6165037, 'acc:', 0.16892982)
('Step:', 246, 'loss:', 3.6212139, 'acc:', 0.17289808)
('Step:', 247, 'loss:', 3.6975584, 'acc:', 0.1578311)
('Step:', 248, 'loss:', 3.6620171, 'acc:', 0.16307046)
('Step:', 249, 'loss:', 3.5681872, 'acc:', 0.17857143)
('Step:', 250, 'loss:', 3.6505711, 'acc:', 0.17503721)
('Step:', 251, 'loss:', 3.7481928, 'acc:', 0.15218875)
('Step:', 252, 'loss:', 3.6056683, 'acc:', 0.16248141)
('Step:', 253, 'loss:', 3.5330005, 'acc:', 0.18188864)
('Step:', 254, 'loss:', 3.617187, 'acc:', 0.17144097)
('Step:', 255, 'loss:', 3.5955069, 'acc:', 0.16982886)
('Step:', 256, 'loss:', 3.5530462, 'acc:', 0.18777902)
('Step:', 257, 'loss:', 3.5511112, 'acc:', 0.1736111)
('Step:', 258, 'loss:', 3.6033289, 'acc:', 0.16734871)
('Step:', 259, 'loss:', 3.5048749, 'acc:', 0.18408978)
('Step:', 260, 'loss:', 3.5025315, 'acc:', 0.18185765)
('Step:', 261, 'loss:', 3.4441128, 'acc:', 0.20315601)
('Step:', 262, 'loss:', 3.3519809, 'acc:', 0.21202257)
('Step:', 263, 'loss:', 3.4126704, 'acc:', 0.19078621)
('Step:', 264, 'loss:', 3.4042892, 'acc:', 0.19599453)
('Step:', 265, 'loss:', 3.4685774, 'acc:', 0.19652158)
('Step:', 266, 'loss:', 3.5055516, 'acc:', 0.19360739)
